MarketName;TimeStamp;Volume;Last;OpenSellOrders;OpenBuyOrders;Bid;Ask;
BTC-2GIVE;2017-12-14T16:10:59.65;33574878.3894;0.000000760;1463;210;0.000000760;0.000000770;
BTC-2GIVE;2017-12-14T16:11:08.073;33598679.7239;0.000000770;1464;209;0.000000760;0.000000770;
BTC-2GIVE;2017-12-14T16:16:11.123;34419455.0566;0.000000800;1459;216;0.000000780;0.000000790;
BTC-2GIVE;2017-12-14T16:21:21.423;35566979.676;0.000000800;1443;216;0.000000780;0.000000790;
BTC-2GIVE;2017-12-14T16:26:22.053;36478061.0817;0.000000790;1453;217;0.000000790;0.000000800;
BTC-2GIVE;2017-12-14T16:31:16.573;36642410.8663;0.000000800;1474;217;0.000000790;0.000000800;
BTC-2GIVE;2017-12-14T16:36:22.2;36788512.3647;0.000000800;1474;211;0.000000790;0.000000800;
BTC-2GIVE;2017-12-14T16:41:25.33;38179142.8477;0.000000750;1476;196;0.000000750;0.000000760;
BTC-2GIVE;2017-12-14T16:46:24.49;38790777.7057;0.000000720;1480;197;0.000000720;0.000000740;
BTC-2GIVE;2017-12-14T16:51:16.103;38985281.674;0.000000750;1491;204;0.000000740;0.000000750;
BTC-2GIVE;2017-12-14T16:56:11.467;39069978.0842;0.000000750;1501;205;0.000000740;0.000000750;
BTC-2GIVE;2017-12-14T17:01:27.673;40073277.84;0.000000800;1488;211;0.000000760;0.000000800;
BTC-2GIVE;2017-12-14T17:06:31.74;40168717.4796;0.000000760;1476;212;0.000000760;0.000000790;
BTC-2GIVE;2017-12-14T17:11:35.227;40216896.965;0.000000760;1503;217;0.000000750;0.000000760;
BTC-2GIVE;2017-12-14T17:16:31.37;40242048.1694;0.000000760;1505;223;0.000000760;0.000000780;
BTC-2GIVE;2017-12-14T17:21:30.08;40938221.6778;0.000000770;1504;220;0.000000770;0.000000790;
BTC-2GIVE;2017-12-14T17:26:26.427;41001304.6804;0.000000760;1502;219;0.000000760;0.000000780;
BTC-2GIVE;2017-12-14T17:31:32.553;41121185.5753;0.000000760;1505;227;0.000000760;0.000000780;
BTC-2GIVE;2017-12-14T17:36:37.403;41175655.6961;0.000000760;1509;233;0.000000760;0.000000770;
BTC-2GIVE;2017-12-14T17:41:34.657;41414194.3882;0.000000790;1501;238;0.000000790;0.000000800;
BTC-2GIVE;2017-12-14T18:12:46.197;45200749.5947;0.000000850;1402;255;0.000000830;0.000000850;
BTC-2GIVE;2017-12-14T18:17:48.637;45596182.9934;0.000000830;1409;248;0.000000830;0.000000870;
BTC-2GIVE;2017-12-14T18:22:37.61;45595714.6464;0.000000840;1413;250;0.000000830;0.000000840;
BTC-2GIVE;2017-12-14T18:27:58.177;46594594.2836;0.000000840;1408;241;0.000000830;0.000000840;
BTC-2GIVE;2017-12-14T18:33:01.79;46920574.7838;0.000000840;1409;240;0.000000810;0.000000840;
BTC-2GIVE;2017-12-14T18:37:58.997;46984951.933;0.000000810;1416;241;0.000000800;0.000000810;
BTC-2GIVE;2017-12-14T18:43:10.903;47272039.8116;0.000000780;1419;230;0.000000780;0.000000790;
BTC-2GIVE;2017-12-14T18:48:08.843;47745043.2437;0.000000800;1417;235;0.000000790;0.000000800;
BTC-2GIVE;2017-12-14T18:53:12.11;48056160.2937;0.000000800;1419;234;0.000000790;0.000000820;
BTC-2GIVE;2017-12-14T18:57:59.483;48068163.4484;0.000000820;1417;237;0.000000820;0.000000830;
BTC-2GIVE;2017-12-14T19:03:10.403;48079479.0585;0.000000820;1422;242;0.000000800;0.000000820;
BTC-2GIVE;2017-12-14T19:08:11.857;48145495.6457;0.000000830;1412;244;0.000000830;0.000000840;
BTC-2GIVE;2017-12-14T19:12:57.15;48024588.0954;0.000000830;1414;241;0.000000800;0.000000820;
BTC-2GIVE;2017-12-14T19:18:11.32;48145085.3434;0.000000830;1413;240;0.000000830;0.000000840;
