MarketName;TimeStamp;Volume;Last;OpenSellOrders;OpenBuyOrders;Bid;Ask;
BTC-DOGE;2017-12-14T16:10:59.23;1559299356.86;0.000000200;10008;2801;0.000000200;0.000000210;
BTC-DOGE;2017-12-14T16:11:12.463;1554600063.97;0.000000200;10023;2805;0.000000200;0.000000210;
BTC-DOGE;2017-12-14T16:16:11.14;1556306363.33;0.000000210;10018;2816;0.000000200;0.000000210;
BTC-DOGE;2017-12-14T16:21:20.313;1559213129.23;0.000000210;10026;2835;0.000000200;0.000000210;
BTC-DOGE;2017-12-14T16:26:20.85;1561016179.79;0.000000200;10034;2816;0.000000200;0.000000210;
BTC-DOGE;2017-12-14T16:31:22.62;1552547299.61;0.000000200;10038;2827;0.000000200;0.000000210;
BTC-DOGE;2017-12-14T16:36:15.607;1549137834.33;0.000000210;10047;2835;0.000000200;0.000000210;
BTC-DOGE;2017-12-14T16:41:25.533;1548372782.33;0.000000210;10025;2820;0.000000200;0.000000210;
BTC-DOGE;2017-12-14T16:46:26.113;1546391828.42;0.000000200;10019;2801;0.000000200;0.000000210;
BTC-DOGE;2017-12-14T16:51:27.853;1420887270.21;0.000000210;10031;2795;0.000000200;0.000000210;
BTC-DOGE;2017-12-14T16:56:18.31;1383144902.77;0.000000210;10032;2812;0.000000200;0.000000210;
BTC-DOGE;2017-12-14T17:01:22.563;1381737865.25;0.000000200;10037;2818;0.000000200;0.000000210;
BTC-DOGE;2017-12-14T17:06:30.05;1380060824.69;0.000000210;10053;2810;0.000000200;0.000000210;
BTC-DOGE;2017-12-14T17:11:35.65;1370239492.09;0.000000210;10061;2821;0.000000200;0.000000210;
BTC-DOGE;2017-12-14T17:16:27.747;1367389377.32;0.000000210;10069;2830;0.000000200;0.000000210;
BTC-DOGE;2017-12-14T17:21:27.297;1368997889.58;0.000000210;10064;2834;0.000000200;0.000000210;
BTC-DOGE;2017-12-14T17:26:25.067;1368275401.97;0.000000200;10051;2848;0.000000200;0.000000210;
BTC-DOGE;2017-12-14T17:31:29.507;1364919670.14;0.000000210;10052;2850;0.000000200;0.000000210;
BTC-DOGE;2017-12-14T17:36:33.277;1368158104.58;0.000000200;10047;2860;0.000000200;0.000000210;
BTC-DOGE;2017-12-14T17:41:37.517;1366832759.3;0.000000200;10046;2841;0.000000200;0.000000210;
BTC-DOGE;2017-12-14T18:12:50.337;1407235173.31;0.000000210;9973;2867;0.000000210;0.000000220;
BTC-DOGE;2017-12-14T18:17:56.09;1407104531.2;0.000000220;9961;2879;0.000000210;0.000000220;
BTC-DOGE;2017-12-14T18:22:54.14;1397236300.23;0.000000220;9961;2885;0.000000210;0.000000220;
BTC-DOGE;2017-12-14T18:28:03.19;1395531316.69;0.000000210;9942;2909;0.000000210;0.000000220;
BTC-DOGE;2017-12-14T18:32:59.54;1382016678.18;0.000000220;9960;2929;0.000000210;0.000000220;
BTC-DOGE;2017-12-14T18:38:02.167;1257641035.92;0.000000210;9972;2933;0.000000210;0.000000220;
BTC-DOGE;2017-12-14T18:43:11.92;1262928544.55;0.000000220;9974;2930;0.000000210;0.000000220;
BTC-DOGE;2017-12-14T18:48:11.547;1266447887.6;0.000000220;9959;2929;0.000000210;0.000000220;
BTC-DOGE;2017-12-14T18:53:12.953;1264915034.68;0.000000210;9943;2915;0.000000210;0.000000220;
BTC-DOGE;2017-12-14T18:58:03.123;1264038915.15;0.000000220;9940;2911;0.000000210;0.000000220;
BTC-DOGE;2017-12-14T19:03:15.56;1261612590.64;0.000000220;9983;2939;0.000000210;0.000000220;
BTC-DOGE;2017-12-14T19:08:11.213;1264022717.49;0.000000220;9989;2959;0.000000210;0.000000220;
BTC-DOGE;2017-12-14T19:13:12.743;1274717613.62;0.000000220;9957;2921;0.000000210;0.000000220;
BTC-DOGE;2017-12-14T19:18:13.303;1267437135.04;0.000000210;9933;2964;0.000000210;0.000000220;
BTC-DOGE;2017-12-14T19:23:08.19;1271385382.7;0.000000220;9947;2959;0.000000210;0.000000220;
BTC-DOGE;2017-12-14T19:28:17.92;1219330425.61;0.000000210;9930;2973;0.000000210;0.000000220;
BTC-DOGE;2017-12-14T19:33:21.15;1218094572.42;0.000000220;9936;2976;0.000000210;0.000000220;
BTC-DOGE;2017-12-14T19:38:16.253;1221178154.57;0.000000220;9933;2967;0.000000210;0.000000220;
BTC-DOGE;2017-12-14T19:43:27.263;1219689579.5;0.000000210;9927;2962;0.000000210;0.000000220;
BTC-DOGE;2017-12-14T19:48:21.35;1219696292.42;0.000000220;9889;2965;0.000000210;0.000000220;
BTC-DOGE;2017-12-14T19:53:36.703;1218848217.69;0.000000220;9910;2972;0.000000210;0.000000220;
BTC-DOGE;2017-12-14T19:58:31.527;1224118124.34;0.000000220;9861;2979;0.000000210;0.000000220;
BTC-DOGE;2017-12-14T20:03:38.427;1221886379.48;0.000000220;9867;2980;0.000000210;0.000000220;
BTC-DOGE;2017-12-14T20:12:50.09;1223143556.71;0.000000220;9845;2992;0.000000210;0.000000220;
BTC-DOGE;2017-12-14T20:17:46.773;1227024096.14;0.000000210;9853;2981;0.000000210;0.000000220;
BTC-DOGE;2017-12-14T20:52:42.743;1239576722.91;0.000000220;9828;3072;0.000000210;0.000000220;
BTC-DOGE;2017-12-14T20:57:48.553;1242506272.3;0.000000220;9833;3080;0.000000210;0.000000220;
BTC-DOGE;2017-12-14T21:02:43.83;1249282573.98;0.000000210;9826;3075;0.000000210;0.000000220;
BTC-DOGE;2017-12-14T21:07:46.373;1248834057.27;0.000000220;9851;3095;0.000000210;0.000000220;
BTC-DOGE;2017-12-14T21:12:44.7;1252386283.1;0.000000220;9842;3100;0.000000210;0.000000220;
BTC-DOGE;2017-12-14T21:17:54.793;1253273247.02;0.000000210;9814;3107;0.000000210;0.000000220;
BTC-DOGE;2017-12-14T21:22:51.557;1266363822.53;0.000000220;9788;3126;0.000000210;0.000000220;
BTC-DOGE;2017-12-14T21:27:58.63;1267886277.8;0.000000210;9775;3125;0.000000210;0.000000220;
BTC-DOGE;2017-12-14T21:32:54.613;1270740708.92;0.000000220;9724;3138;0.000000210;0.000000220;
BTC-DOGE;2017-12-14T21:37:58.97;1267035332.7;0.000000220;9691;3141;0.000000210;0.000000220;
BTC-DOGE;2017-12-14T21:42:57.61;1269357892.91;0.000000220;9681;3146;0.000000210;0.000000220;
BTC-DOGE;2017-12-14T21:47:56.25;1268037380.0;0.000000220;9679;3109;0.000000210;0.000000220;
BTC-DOGE;2017-12-14T21:52:58.547;1279688237.88;0.000000210;9684;3142;0.000000210;0.000000220;
BTC-DOGE;2017-12-14T21:58:05.14;1281187400.6;0.000000220;9703;3148;0.000000210;0.000000220;
