MarketName;TimeStamp;Volume;Last;OpenSellOrders;OpenBuyOrders;Bid;Ask;
BTC-RDD;2017-12-14T16:10:59.23;1097844228.19;0.000000090;10681;1881;0.000000090;0.000000100;
BTC-RDD;2017-12-14T16:11:13.12;1097844228.19;0.000000090;10681;1881;0.000000090;0.000000100;
BTC-RDD;2017-12-14T16:16:06.403;1102317759.04;0.000000100;10690;1882;0.000000090;0.000000100;
BTC-RDD;2017-12-14T16:21:21.377;1101497488.17;0.000000100;10684;1892;0.000000090;0.000000100;
BTC-RDD;2017-12-14T16:26:11.02;1105007036.0;0.000000090;10686;1892;0.000000090;0.000000100;
BTC-RDD;2017-12-14T16:31:26.527;1112006809.07;0.000000090;10694;1901;0.000000090;0.000000100;
BTC-RDD;2017-12-14T16:36:21.09;1111138944.99;0.000000090;10692;1906;0.000000090;0.000000100;
BTC-RDD;2017-12-14T16:41:12.44;1109766134.97;0.000000100;10676;1911;0.000000090;0.000000100;
BTC-RDD;2017-12-14T16:46:01.427;1104276654.69;0.000000100;10692;1906;0.000000090;0.000000100;
BTC-RDD;2017-12-14T16:50:52.65;1097434220.52;0.000000090;10725;1914;0.000000090;0.000000100;
BTC-RDD;2017-12-14T16:56:18.077;1096694280.88;0.000000090;10730;1926;0.000000090;0.000000100;
BTC-RDD;2017-12-14T17:01:22.033;1096703538.1;0.000000090;10733;1931;0.000000090;0.000000100;
BTC-RDD;2017-12-14T17:06:27.787;1098621074.76;0.000000100;10745;1936;0.000000090;0.000000100;
BTC-RDD;2017-12-14T17:11:14.353;1097951936.81;0.000000100;10751;1945;0.000000090;0.000000100;
BTC-RDD;2017-12-14T17:16:33.497;1100051996.35;0.000000100;10757;1946;0.000000090;0.000000100;
BTC-RDD;2017-12-14T17:21:28.25;1099251364.01;0.000000090;10763;1942;0.000000090;0.000000100;
BTC-RDD;2017-12-14T17:26:28.52;1094318122.19;0.000000100;10765;1948;0.000000090;0.000000100;
BTC-RDD;2017-12-14T17:31:32.1;1093390207.5;0.000000090;10778;1953;0.000000090;0.000000100;
BTC-RDD;2017-12-14T17:36:33.573;1093404512.13;0.000000100;10776;1957;0.000000090;0.000000100;
BTC-RDD;2017-12-14T17:41:30.61;1092183358.01;0.000000100;10790;1959;0.000000090;0.000000100;
BTC-RDD;2017-12-14T18:12:51.023;1097096950.49;0.000000090;10753;1971;0.000000090;0.000000100;
BTC-RDD;2017-12-14T18:17:52.527;1096315862.5;0.000000100;10793;1992;0.000000090;0.000000100;
BTC-RDD;2017-12-14T18:22:57.11;1097753857.93;0.000000100;10825;1993;0.000000090;0.000000100;
BTC-RDD;2017-12-14T18:28:03.13;1094631891.52;0.000000100;10825;1993;0.000000090;0.000000100;
BTC-RDD;2017-12-14T18:33:03.023;1094986762.26;0.000000090;10821;1986;0.000000090;0.000000100;
BTC-RDD;2017-12-14T18:37:56.997;1100173059.06;0.000000090;10834;1982;0.000000090;0.000000100;
BTC-RDD;2017-12-14T18:43:10.623;1102654122.68;0.000000100;10842;1994;0.000000090;0.000000100;
BTC-RDD;2017-12-14T18:48:06.937;1104382420.93;0.000000100;10828;2002;0.000000090;0.000000100;
BTC-RDD;2017-12-14T18:53:10.11;1108714973.43;0.000000100;10832;1997;0.000000090;0.000000100;
BTC-RDD;2017-12-14T18:58:06.72;1109170448.23;0.000000100;10827;2004;0.000000090;0.000000100;
BTC-RDD;2017-12-14T19:02:55.64;1111502927.96;0.000000090;10855;1995;0.000000090;0.000000100;
BTC-RDD;2017-12-14T19:08:08.76;1111778371.76;0.000000100;10859;1992;0.000000090;0.000000100;
BTC-RDD;2017-12-14T19:13:07.353;1133580050.61;0.000000100;10820;1963;0.000000090;0.000000100;
BTC-RDD;2017-12-14T19:18:15.757;1140367495.07;0.000000100;10878;1982;0.000000090;0.000000100;
BTC-RDD;2017-12-14T19:23:18.097;1139546124.39;0.000000100;10881;1985;0.000000090;0.000000100;
BTC-RDD;2017-12-14T19:28:10.45;1139922316.81;0.000000100;10871;1981;0.000000090;0.000000100;
BTC-RDD;2017-12-14T19:33:15.727;1139780026.01;0.000000100;10887;1980;0.000000090;0.000000100;
BTC-RDD;2017-12-14T19:38:20.457;1141172520.82;0.000000100;10881;1980;0.000000090;0.000000100;
BTC-RDD;2017-12-14T19:43:25.933;1142644822.2;0.000000100;10863;1984;0.000000090;0.000000100;
BTC-RDD;2017-12-14T19:48:16.913;1144536794.82;0.000000100;10892;1966;0.000000090;0.000000100;
BTC-RDD;2017-12-14T19:53:32.517;1143108946.75;0.000000100;10880;1970;0.000000090;0.000000100;
BTC-RDD;2017-12-14T19:58:25.277;1144522774.57;0.000000100;10888;1968;0.000000090;0.000000100;
BTC-RDD;2017-12-14T20:03:36.787;1148065613.4;0.000000100;10896;1974;0.000000090;0.000000100;
BTC-RDD;2017-12-14T20:12:49.62;1150229906.75;0.000000100;10866;1989;0.000000090;0.000000100;
BTC-RDD;2017-12-14T20:17:29.117;1145756020.23;0.000000100;10870;1989;0.000000090;0.000000100;
BTC-RDD;2017-12-14T20:52:43.917;1172945981.61;0.000000100;10908;1970;0.000000090;0.000000100;
BTC-RDD;2017-12-14T20:57:48.613;1291014381.71;0.000000100;10634;1984;0.000000090;0.000000100;
BTC-RDD;2017-12-14T21:02:31.55;1314195337.03;0.000000110;10584;1991;0.000000100;0.000000110;
BTC-RDD;2017-12-14T21:07:43.92;1316203728.54;0.000000110;10588;2015;0.000000100;0.000000110;
BTC-RDD;2017-12-14T21:12:48.077;1316582407.11;0.000000110;10594;2020;0.000000100;0.000000110;
BTC-RDD;2017-12-14T21:17:40.09;1318319885.38;0.000000100;10599;2029;0.000000100;0.000000110;
